אכל,PAAL,אכל,אָכַל,INFINITIVE,NONE,NONE
אכל,PAAL,אוכל,אוֹכֵל,PRESENT,THIRD,SINGULAR_MASCULINE
אכל,PAAL,אוכלת,אוֹכֶלֶת,PRESENT,THIRD,SINGULAR_FEMININE
אכל,PAAL,אוכלים,אוֹכְלִים,PRESENT,THIRD,PLURAL_MASCULINE
אכל,PAAL,אוכלות,אוֹכְלוֹת,PRESENT,THIRD,PLURAL_FEMININE
אכל,PAAL,אכלתי,אָכַלְתִּי,PAST,FIRST,SINGULAR
אכל,PAAL,אכלת,אָכַלְתָּ,PAST,SECOND,SINGULAR_MASCULINE
אכל,PAAL,אכלת,אָכַלְתְּ,PAST,SECOND,SINGULAR_FEMININE
אכל,PAAL,אכל,אָכַל,PAST,THIRD,SINGULAR_MASCULINE
אכל,PAAL,אכלה,אָכְלָה,PAST,THIRD,SINGULAR_FEMININE
אכל,PAAL,אכלנו,אָכַלְנוּ,PAST,FIRST,PLURAL
אכל,PAAL,אכלתם,אָכַלְתֶּם,PAST,SECOND,PLURAL_MASCULINE
אכל,PAAL,אכלתן,אָכַלְתֶּן,PAST,SECOND,PLURAL_FEMININE
אכל,PAAL,אכלו,אָכְלוּ,PAST,THIRD,PLURAL_MASCULINE
אכל,PAAL,אוכל,אוֹכַל,FUTURE,FIRST,SINGULAR
אכל,PAAL,תאכל,תֹּאכַל,FUTURE,SECOND,SINGULAR_MASCULINE
אכל,PAAL,תאכלי,תֹּאכְלִי,FUTURE,SECOND,SINGULAR_FEMININE
אכל,PAAL,יאכל,יֹאכַל,FUTURE,THIRD,SINGULAR_MASCULINE
אכל,PAAL,תאכל,תֹּאכַל,FUTURE,THIRD,SINGULAR_FEMININE
אכל,PAAL,נאכל,נֹאכַל,FUTURE,FIRST,PLURAL
אכל,PAAL,תאכלו,תֹּאכְלוּ,FUTURE,SECOND,PLURAL_MASCULINE
אכל,PAAL,תאכלנה,תֹּאכַלְנָה,FUTURE,SECOND,PLURAL_FEMININE
